Nombre;Año;Axis;Diametro;Peso
Silver Denarius of Antoninus Pius- Rome- AD 140 - AD 143. 1956.127.367 ;AD-140;12;16.5;3.55
Silver Denarius of Claudius- Rome- AD 50 - AD 54. 1944.100.39360 ;AD-50;9;18.0;3.56
Bronze As of Trajan- Rome- AD 98 - AD 99. 1957.172.1634 ;AD-98;6;27.0;11.23
Silver Denarius of Antoninus Pius- Rome- AD 141. 1956.127.608 ;AD-141.;12;16.5;3.3
Bronze AE1 of Diocletian- Antioch- AD 302 - AD 303. 1944.100.4252 ;AD-302;5;25.5;9.78
Bronze AE3 of Constantine I- Antioch- AD 330 - AD 335. 1944.100.9015 ;AD-330;12;17.0;2.71
Bronze AE3 of Constantine I- Constantinople- AD 333 - AD 335. 1944.100.9288 ;AD-333;12;18.5;2.36
Silver Denarius of Maximinus Thrax- Rome- AD 235 - AD 236. 1944.100.8550 ;AD-235;12;19.5;2.977
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1956.127.264 ;AD-134;7;18.0;3.4
Silver Denarius of Maximinus Thrax- Rome- AD 236 - AD 238. 1944.100.8589 ;AD-236;5;21.3;2.812
Bronze As of Gordian III- Rome- AD 240. 1951.61.20 ;AD-240.;12;23.0;8.82
Silver Drachma- Colophon- 323 B.C. - 319 B.C.. 1952.123.271 ;323-B.C.;1;17.5;4.19
Silver Denarius- Rome- 137 B.C.. 1999.13.1 ;137-B.C..;8;20.0;3.93
Silver Antoninianus of Philip the Arab- Rome- AD 246 - AD 248. 1948.19.683 ;AD-246;6;23.6;3.88
Silver Denarius of Severus Alexander- Rome- AD 228 - AD 231. 1946.7.41 ;AD-228;6;21.0;2.86
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1956.127.1474 ;AD-103;6;17.5;3.26
Silver Antoninianus of Maximian- Lugdunum- AD 287 - AD 288. 1944.100.37987 ;AD-287;12;22.0;3.49
Silver Antoninianus of Probus- Antioch- AD 276 - AD 282. 1944.100.36160 ;AD-276;12;20.75;3.66
Bronze As- Rome- 150 B.C.. 1969.83.297 ;150-B.C..;2;30.1;26.14
Silver Antoninianus of Probus- Antioch- AD 276 - AD 282. 1944.100.36135 ;AD-276;12;21.35;4.42
Bronze Sestertius of Hadrian- Rome- AD 137. 1944.100.47488 ;AD-137.;6;30.0;27.75
Bronze Dupondius of Hadrian- Rome- AD 118. 1944.100.45619 ;AD-118.;6;27.0;14.34
Silver Antoninianus of Probus- Tripolis- AD 276 - AD 282. 1944.100.36285 ;AD-276;12;21.25;4.26
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1956.127.1429 ;AD-103;6;18.0;3.29
Bronze Quadrans of Hadrian- Rome- AD 128 - AD 132. 1944.100.47368 ;AD-128;6;17.0;3.55
Silver Denarius of Marcus Aurelius- Rome- AD 176 - AD 180. 1948.19.1329 ;AD-176;12;17.75;2.98
Bronze AE3 of Constantine I- Constantinople- AD 333 - AD 335. 1944.100.9348 ;AD-333;12;17.0;1.87
Silver Denarius of Antoninus Pius- Rome- AD 158 - AD 159. 1944.100.48176 ;AD-158;6;17.5;3.03
Bronze Sestertius of Gordian III- Rome- AD 241 - AD 244. 1946.35.107 ;AD-241;12;31.0;16.45
Bronze AE2 of Galerius- Heraclea- AD 308 - AD 309. 1944.100.3963 ;AD-308;11;25.5;5.85
Bronze As of Tiberius- Rome- AD 36 - AD 37. 1947.2.420 ;AD-36;8;27.5;12.32
Bronze AE2 of Maximinus Daia- Antioch- AD 308. 1944.100.4386 ;AD-308.;12;23.0;6.37
Silver Denarius of Augustus- Rome- 19 BC - 4 BC. 1944.100.38313 ;19-BC;5;19.0;3.42
Bronze Sestertius of Nerva- Rome- AD 98. 1944.100.42663 ;AD-98.;5;34.0;26.75
Silver Antoninianus of Diocletian- Tripolis- AD 284. 1944.100.38196 ;AD-284.;12;20.0;3.85
Bronze AE3 of Constantine I- Alexandria- AD 333 - AD 335. 1929.104.3 ;AD-333;6;17.0;3.04
Silver Denarius of Hadrian- Rome- AD 119 - AD 122. 1948.19.1195 ;AD-119;6;17.0;3.41
Bronze As of Hadrian- Rome- AD 134 - AD 138. 1944.100.47434 ;AD-134;1;27.0;12.84
Bronze Sestertius of Maximinus Thrax- Rome- AD 236 - AD 238. 1957.172.639 ;AD-236;12;29.3;17.14
Bronze As of Valerian- Gallienus- Rome;AD-255;6;23.3;8.15
Silver Antoninianus of Diocletian- Antioch- AD 284. 1944.100.38154 ;AD-284.;12;21.0;4.65
Bronze Sestertius of Trajan- Rome- AD 103 - AD 111. 1964.183.1 ;AD-103;6;34.0;26.76
Bronze Sestertius of Maximinus Thrax- Rome- AD 235 - AD 236. 1946.35.98 ;AD-235;2;30.0;15.42
Bronze Sestertius of Nero- Rome- AD 64 - AD 68. 1944.100.39731 ;AD-64;6;36.0;26.84
