Nombre,Fecha,Axis,Diametro,Peso,Anverso,Reverso
Silver Antoninianus of Philip the Arab- Rome- AD 246 - AD 248. 1948.19.686 ,AD-246,6,22.8,3.69,http://numismatics.org/collectionimages/19001949/1948/1948.19.686.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.19.686.rev.width350.jpg
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1956.127.302 ,AD-134,6,18.0,3.38,http://numismatics.org/collectionimages/19501999/1956/1956.127.302.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.302.rev.width350.jpg
Silver Denarius of Vespasian- Rome- AD 75. 1956.127.1307 ,AD-75.,5,18.0,3.1,http://numismatics.org/collectionimages/19501999/1956/1956.127.1307.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.1307.rev.width350.jpg
Bronze AE3 of Licinius- Nicomedia- AD 313 - AD 317. 2004.14.186 ,AD-313,2,19.5,2.6,http://numismatics.org/collectionimages/20002049/2004/2004.14.186.obv.width350.jpg,http://numismatics.org/collectionimages/20002049/2004/2004.14.186.rev.width350.jpg
Bronze AE3 of Valentinian II- Siscia- AD 384 - AD 387. 1948.19.803 ,AD-384,6,18.0,2.24,http://numismatics.org/collectionimages/19001949/1948/1948.19.803.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.19.803.rev.width350.jpg
Silver Denarius of Antoninus Pius- Rome- AD 141. 1948.19.1292 ,AD-141.,6,16.5,3.34,http://numismatics.org/collectionimages/19001949/1948/1948.19.1292.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.19.1292.rev.width350.jpg
Bronze AE1 of Diocletian- Antioch- AD 300 - AD 301. 1944.100.4202 ,AD-300,5,26.5,9.69,http://numismatics.org/collectionimages/19001949/1944/1944.100.4202.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.4202.rev.width350.jpg
Bronze Sestertius of Hadrian- Rome- AD 134 - AD 138. 1948.8.173 ,AD-134,6,32.0,28.59,http://numismatics.org/collectionimages/19001949/1948/1948.8.173.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.8.173.rev.width350.jpg
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1944.100.43567 ,AD-103,6,19.0,3.21,http://numismatics.org/collectionimages/19001949/1944/1944.100.43567.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.43567.rev.width350.jpg
Bronze Semis- Rome- 211 B.C.. 1969.83.191 ,211-B.C..,5,25.0,5.38,http://numismatics.org/collectionimages/19501999/1969/1969.83.191.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1969/1969.83.191.rev.width350.jpg
Bronze AE3 of Constantine I- Antioch- AD 335 - AD 337. 1944.100.9128 ,AD-335,12,15.0,1.83,http://numismatics.org/collectionimages/19001949/1944/1944.100.9128.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.9128.rev.width350.jpg
Bronze AE3 of Valens- Antioch- AD 364 - AD 367. 1964.101.1 ,AD-364,6,16.0,3.46,http://numismatics.org/collectionimages/19501999/1964/1964.101.1.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1964/1964.101.1.rev.width350.jpg
Bronze As of Nerva- Rome- AD 97. 1944.100.42662 ,AD-97.,6,28.0,9.22,http://numismatics.org/collectionimages/19001949/1944/1944.100.42662.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.42662.rev.width350.jpg
Silver Denarius of Caracalla- Rome- AD 215. 1950.84.4 ,AD-215.,6,19.0,3.18,http://numismatics.org/collectionimages/19501999/1950/1950.84.4.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1950/1950.84.4.rev.width350.jpg
Silver Denarius of Hadrian- Rome- AD 119 - AD 122. 1956.127.147 ,AD-119,6,16.5,3.01,http://numismatics.org/collectionimages/19501999/1956/1956.127.147.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.147.rev.width350.jpg
Bronze AE3 of Licinius- Thessalonica- AD 312 - AD 313. 1944.100.3799 ,AD-312,6,22.5,3.77,http://numismatics.org/collectionimages/19001949/1944/1944.100.3799.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.3799.rev.width350.jpg
Silver Denarius of Augustus- Lugdunum- 2 BC - AD 4. 1956.28.143 ,2-BC,6,17.0,3.53,http://numismatics.org/collectionimages/19501999/1956/1956.28.143.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.28.143.rev.width350.jpg
Silver Denarius of Nerva- Rome- AD 96. 1956.127.64 ,AD-96.,6,18.0,3.32,http://numismatics.org/collectionimages/19501999/1956/1956.127.64.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.64.rev.width350.jpg
Bronze Dupondius of Maximinus Thrax- Rome- AD 236 - AD 238. 1947.97.69 ,AD-236,11,25.0,11.83,http://numismatics.org/collectionimages/19001949/1947/1947.97.69.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1947/1947.97.69.rev.width350.jpg
Bronze AE3 of Constantine I- Constantinople- AD 336 - AD 337. 1944.100.9382 ,AD-336,12,15.0,1.46,http://numismatics.org/collectionimages/19001949/1944/1944.100.9382.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.9382.rev.width350.jpg
